car_id,Бренд,Год выпуска,Модель,Тип машины,Полное название,Исползование,КПП,Двигатель,Привод,Топливо,Расход,Пробег,Цвет,Локация,Количество цилиндров,Тип кузова,Двери,Количество кресел,Оценка эксперта,Количество владельцев,Предложение
059320b0-bb6e-4d82-8fa5-a0084959d7a1,KIA,2018.0,CARNIVAL,WAGON,2018 KIA CARNIVAL PLATINUM,USED,Automatic,"6 cyl, 3.3 L",Front,UNLEADED,11.6 L / 100 km,64847,Silver / Beige,"BROOKVALE, NSW",6 cyl,WAGON, 4 Doors, 8 Seats,8.0,2.0,42171
03916dd3-0347-44e0-bade-7698acfd2d1c,MG,2023.0,ZS,OLDMAC MG NEW,2023 MG ZS EXCITE,NEW,Automatic,"4 cyl, 1.5 L",Front,-,7.1 L / 100 km,10,Red / -,"CLEVELAND, QLD",4 cyl,SUV, 4 Doors, 5 Seats,8.0,1.0,24243
edb29fb5-2431-42f4-a40a-3c94367f0bb2,KIA,2020.0,PICANTO,HATCHBACK,2020 KIA PICANTO S (PE),USED,Automatic,"4 cyl, 1.2 L",Front,UNLEADED,5.8 L / 100 km,31337,Black / -,"MAROOCHYDORE, QLD",4 cyl,HATCHBACK, 5 Doors, 5 Seats,2.0,3.0,18225
ccd4c390-63c7-4b58-b6ef-45d23e0b1646,HYUNDAI,2013.0,I20,HATCHBACK,2013 HYUNDAI I20 ACTIVE,USED,Automatic,"4 cyl, 1.4 L",Front,UNLEADED,6.4 L / 100 km,94024,- / -,"DANDENONG, VIC",4 cyl,HATCHBACK, 5 Doors, 5 Seats,6.0,1.0,13587
286c6c8c-70d1-4138-ba6f-4bc0f6fdfd26,TOYOTA,2014.0,YARIS,HATCHBACK,2014 TOYOTA YARIS YRX,USED,Automatic,"4 cyl, 1.5 L",Front,UNLEADED,6.3 L / 100 km,98357,Black / Blck,"MINCHINBURY, NSW",4 cyl,HATCHBACK, 5 Doors, 5 Seats,5.0,6.0,15147
f313facb-da19-4698-a571-8e8254beb32c,TOYOTA,2022.0,RAV4,SUV,2022 TOYOTA RAV4 GXL (2WD),USED,Automatic,"4 cyl, 2 L",Front,UNLEADED,6 L / 100 km,85,Blue / -,"CANNING VALE, WA",4 cyl,SUV, 5 Doors, 5 Seats,7.0,3.0,44930
4a258a18-42f6-4992-8e8c-847e1ac0449f,KIA,2020.0,STINGER,SEDAN,2020 KIA STINGER GT (BLACK LEATHER),USED,Automatic,"6 cyl, 3.3 L",Rear,UNLEADED,10.2 L / 100 km,27328,White / Black,"MILE END SOUTH, SA",6 cyl,SEDAN, 4 Doors, 5 Seats,5.0,6.0,57162
56bc54be-07a1-413d-af68-1d1dd494b786,HOLDEN,2016.0,COMMODORE,WAGON,2016 HOLDEN COMMODORE SV6 RESERVE EDITION,USED,Automatic,"6 cyl, 3.6 L",Rear,UNLEADED,9.8 L / 100 km,118199,White / -,"ELSTERNWICK, VIC",6 cyl,WAGON, 4 Doors, 5 Seats,7.0,4.0,30981
f70d6c5b-a7ef-49e3-85f5-dcc6913292f5,VOLKSWAGEN,2019.0,CADDY,COMMERCIAL,2019 VOLKSWAGEN CADDY TSI220,USED,Automatic,"4 cyl, 1.4 L",Front,PREMIUM,6 L / 100 km,96596,White / Black,"GEEBUNG, QLD",4 cyl,COMMERCIAL, 3 Doors, 2 Seats,7.0,1.0,28121
7e3f5a94-fc0f-45e1-9411-73e2533d6f0f,TOYOTA,2012.0,FJ,SUV,2012 TOYOTA FJ CRUISER,USED,Automatic,"6 cyl, 4 L",4WD,PREMIUM,11.4 L / 100 km,150889,Silver / -,"BENTLEY, WA",6 cyl,SUV, 4 Doors, 5 Seats,9.0,2.0,40156
0caf55b5-dfe3-40c2-a0c0-1268270c53b1,KIA,2022.0,SORENTO,SUV,2022 KIA SORENTO SPORT+ 7 SEAT,USED,Automatic,"4 cyl, 2.2 L",AWD,DIESEL,6.1 L / 100 km,23037,White / -,"WEST GLADSTONE, QLD",4 cyl,SUV, 4 Doors, 7 Seats,5.0,4.0,54770
c4e75de6-4016-441d-98ae-afb65c56583d,FORD,2018.0,RANGER,UTE / TRAY,2018 FORD RANGER XL 2.2 HI-RIDER (4X2),USED,Automatic,"4 cyl, 2.2 L",Rear,DIESEL,8.2 L / 100 km,137458,White / -,"BLAIR ATHOL, SA",4 cyl,UTE / TRAY, 4 Doors, 4 Seats,5.0,5.0,28487
d40a6dee-0477-4bb1-aa82-8c7fb5d8e23f,VOLKSWAGEN,2023.0,T-CROSS,ALTO VOLKSWAGEN NORTH SHORE NEW CARS,2023 VOLKSWAGEN T-CROSS 85TFSI STYLE (RESTRICTED FEAT),NEW,Automatic,"3 cyl, 1 L",Front,PREMIUM,5.4 L / 100 km,10,Grey / Black,"CHATSWOOD, NSW",3 cyl,SUV, 4 Doors, 5 Seats,2.0,4.0,42816
384d8b09-2694-4262-8ecd-26bbd3e6acd4,MAZDA,2021.0,CX-3,SUV,2021 MAZDA CX-3 S TOURING (FWD),USED,Automatic,"4 cyl, 2 L",Front,UNLEADED,6.3 L / 100 km,37490,Blue / -,"ESSENDON FIELDS, VIC",4 cyl,SUV, 4 Doors, 5 Seats,1.0,6.0,29823
31e38abc-72ca-4cd5-a03f-d54730e5f11f,NISSAN,2021.0,X-TRAIL,BERWICK NISSAN USED CARS,2021 NISSAN X-TRAIL TI X-TRONIC 4WD,USED,Automatic,-,Other,UNLEADED,-,23658,Grey / Black,"BERWICK, VIC",-,WAGON,,,4.0,2.0,42459
a07483a5-1490-4433-a790-cdbcd1cfe7c8,VOLKSWAGEN,2001.0,TRANSPORTER,COMMERCIAL,2001 VOLKSWAGEN TRANSPORTER,USED,Manual,"5 cyl, 2.5 L",Front,UNLEADED,13.4 L / 100 km,174486,White / Grey,"KURRI KURRI, NSW",5 cyl,COMMERCIAL, 4 Doors, 5 Seats,10.0,2.0,7133
47761e5a-df0c-424f-85ea-40960b5d77bd,NISSAN,2019.0,NAVARA,UTE / TRAY,2019 NISSAN NAVARA ST-X (4X4) (LEATHR TRIM) (5YR),USED,Automatic,"4 cyl, 2.3 L",4WD,DIESEL,7 L / 100 km,62000,Silver / 2019/12,"ALBION, QLD",4 cyl,UTE / TRAY, 4 Doors, 5 Seats,9.0,1.0,36944
0917ee60-9a4c-4597-9a7c-fa8add5af87b,TOYOTA,2022.0,RAV4,SUV,2022 TOYOTA RAV4 CRUISER (AWD) HYBRID,USED,Automatic,"4 cyl, 2.5 L",AWD,HYBRID,4.8 L / 100 km,19448,White / Beige,"KEYSBOROUGH, VIC",4 cyl,SUV, 5 Doors, 5 Seats,5.0,3.0,68342
d2a639b4-97be-413a-aa04-d35403bd5c9d,MG,2021.0,ZST,SUV,2021 MG ZST EXCITE,USED,Automatic,"3 cyl, 1.3 L",Front,UNLEADED,7.3 L / 100 km,23508,Black / Black,"KEDRON, QLD",3 cyl,SUV, 5 Doors, 5 Seats,8.0,2.0,27157
c76fa30e-66bd-4d19-99d5-a851f8f220c7,MITSUBISHI,2018.0,TRITON,UTE / TRAY,2018 MITSUBISHI TRITON GLX,USED,Automatic,"4 cyl, 2.4 L",Rear,DIESEL,7.3 L / 100 km,85274,White / -,"OAKLEIGH, VIC",4 cyl,UTE / TRAY, 2 Doors, 2 Seats,7.0,4.0,26111
9f386f75-4a03-4e70-87a5-a19db8e8dfff,TOYOTA,2019.0,CAMRY,SEDAN,2019 TOYOTA CAMRY ASCENT (HYBRID),USED,Automatic,"4 cyl, 2.5 L",Front,HYBRID,4.2 L / 100 km,5725,White / Grey,"MELROSE PARK, SA",4 cyl,SEDAN, 4 Doors, 5 Seats,4.0,2.0,33224
