car_id,Бренд,Год выпуска,Модель,Тип машины,Полное название,Исползование,КПП,Двигатель,Привод,Топливо,Расход,Пробег,Цвет,Локация,Количество цилиндров,Тип кузова,Двери,Количество кресел,Оценка эксперта,Количество владельцев,Предложение
f627886b-4934-48e0-8d53-d88cc81c77a5,MITSUBISHI,2010.0,OUTLANDER,SUV,2010 MITSUBISHI OUTLANDER LS,USED,Automatic,"4 cyl, 2.4 L",4WD,UNLEADED,9.3 L / 100 km,148835,Silver / Black,"BENDIGO, VIC",4 cyl,SUV, 4 Doors, 5 Seats,1.0,3.0,14960
c2419524-e165-4d89-8204-c5e8b0cf860f,MERCEDES-BENZ,2017.0,SPRINTER,COMMERCIAL,2017 MERCEDES-BENZ SPRINTER 319CDI MWB,USED,Automatic,"6 cyl, 3 L",Rear,DIESEL,0 L / 100 km,187563,White / Grey,"BANKSTOWN, NSW",6 cyl,COMMERCIAL, 3 Doors, 2 Seats,1.0,2.0,34555
1efa080c-f155-4dba-aea6-1097e551697e,HOLDEN,2013.0,CAPTIVA,SUV,2013 HOLDEN CAPTIVA 7 LX (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,DIESEL,8.1 L / 100 km,164738,Grey / -,"EAGLE FARM, QLD",4 cyl,SUV, 4 Doors, 7 Seats,4.0,7.0,11103
e6bbc44f-968a-4e6a-bcfb-70216750b0e6,TOYOTA,2005.0,HILUX,UTE / TRAY,2005 TOYOTA HILUX WORKMATE,USED,Manual,"4 cyl, 2.7 L",Rear,UNLEADED,11 L / 100 km,303119,White / -,"FAIRFIELD EAST, NSW",4 cyl,UTE / TRAY, 4 Doors, 5 Seats,4.0,2.0,8606
cef38e66-66b4-4e31-ad0c-e5ef895715c0,KIA,2018.0,CERATO,HATCHBACK,2018 KIA CERATO SPORT,USED,Automatic,"4 cyl, 2 L",Front,UNLEADED,7.3 L / 100 km,33681,Grey / Black,"ALBION, QLD",4 cyl,HATCHBACK, 5 Doors, 5 Seats,10.0,2.0,22874
63ee7a96-ba11-43e1-b40b-2e5643afbdde,TOYOTA,2017.0,KLUGER,SUV,2017 TOYOTA KLUGER GX (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,UNLEADED,9.1 L / 100 km,145119,Blue / Grey,"CASTLE HILL, NSW",6 cyl,SUV, 4 Doors, 7 Seats,8.0,2.0,32715
33974daa-ff4a-47c0-9271-dce8faf6699f,RENAULT,2003.0,LAGUNA,HATCHBACK,2003 RENAULT LAGUNA PRIVILEGE,USED,Automatic,"6 cyl, 2.9 L",Front,PREMIUM,11.5 L / 100 km,102701,Silver / -,"BRIGHTON, SA",6 cyl,HATCHBACK, 5 Doors, 5 Seats,2.0,3.0,7067
704b649e-fcfe-49e9-933e-017085a9de6a,HOLDEN,2007.0,CALAIS,SEDAN,2007 HOLDEN CALAIS,USED,Automatic,"6 cyl, 3.6 L",Rear,UNLEADED,11 L / 100 km,145827,Grey / -,"FAIRFIELD EAST, NSW",6 cyl,SEDAN, 4 Doors, 5 Seats,7.0,3.0,12164
82868541-b4c0-4448-b4c6-4596d68b0782,LDV,2017.0,T60,UTE / TRAY,2017 LDV T60 PRO (4X4),USED,Manual,"4 cyl, 2.8 L",4WD,DIESEL,8.8 L / 100 km,97662,Grey / -,"WELSHPOOL, WA",4 cyl,UTE / TRAY, 4 Doors, 5 Seats,2.0,1.0,26151
0f9e5d30-6e94-4248-8c38-737e5e60e7a9,TOYOTA,2016.0,HIACE,COMMERCIAL,2016 TOYOTA HIACE LWB,USED,Automatic,"4 cyl, 3 L",Rear,DIESEL,8.7 L / 100 km,171237,White / Grey,"BELLS CREEK, QLD",4 cyl,COMMERCIAL, 4 Doors, 2 Seats,8.0,4.0,30970
2abd7d4e-9256-4a1f-9d18-3c5de08d6c9e,ISUZU,2023.0,FYJ,NEW AVAILABLE TO ORDER,2023 ISUZU FYJ 300-350 (LWB),NEW,Manual,"6 cyl, 9.8 L",Rear,DIESEL,0 L / 100 km,- / -,"6 years / 600,000 km",,6 cyl,UTE / TRAY, 2 Doors, 3 Seats,4.0,1.0,204613
10ccdecd-bfdd-4b39-9a45-88feab924dc0,SUBARU,2020.0,FORESTER,SUV,2020 SUBARU FORESTER 2.5I (AWD),USED,Automatic,"4 cyl, 2.5 L",AWD,UNLEADED,7.4 L / 100 km,56476,White / -,"VICTORIA PARK, WA",4 cyl,SUV, 4 Doors, 5 Seats,2.0,2.0,32344
3b0ec43f-79f8-46df-b9d1-f565f4bc2323,SUBARU,2016.0,FORESTER,CARHUB AUTOMOTIVE,2016 SUBARU FORESTER S4 2.5I-L WAGON 5DR CVT 6SP AWD MY16,USED,Automatic,-,Other,UNLEADED,-,121982,Silver / -,"MAYLANDS, WA",-,WAGON,,,4.0,2.0,21784
562f3fd6-292f-4501-a41c-26e633f974c5,MERCEDES-BENZ,2015.0,C63,USED DEALER AD,2015 MERCEDES-BENZ C63 W205 AMG S SEDAN 4DR SPEEDSHIFT 7SP 4.0TT JUL,USED,Automatic,-,Rear,UNLEADED,-,35640,Black / -,"GRANVILLE, NSW",-,,,,6.0,1.0,92106
c9725699-f8b9-411c-9313-56233cb62836,HYUNDAI,2023.0,SANTA,LANCASTER AUTOMOTIVE HOLDINGS NEW CARS,2023 HYUNDAI SANTA FE HIGHLANDER CRDI (AWD),NEW,Automatic,"4 cyl, 2.2 L",AWD,DIESEL,6.1 L / 100 km,45,White / Black,"SINGLETON, NSW",4 cyl,SUV, 4 Doors, 7 Seats,9.0,4.0,70588
9f73d94a-f042-4a40-b96e-bda92c93f773,HOLDEN,2011.0,COMMODORE,WAGON,2011 HOLDEN COMMODORE OMEGA,USED,Automatic,"6 cyl, 3 L",Rear,UNLEADED,8.9 L / 100 km,287742,Blue / -,"CAMPBELLTOWN, NSW",6 cyl,WAGON, 4 Doors, 5 Seats,8.0,3.0,6619
677877e9-1d92-42b1-bf0c-495dd8edf060,FORD,2021.0,RANGER,UTE / TRAY,2021 FORD RANGER WILDTRAK X 2.0 (4X4),USED,Automatic,"4 cyl, 2 L",4WD,DIESEL,7.4 L / 100 km,23358,Black / -,"WEST GLADSTONE, QLD",4 cyl,UTE / TRAY, 4 Doors, 5 Seats,4.0,2.0,62189
0fc51701-4eef-46ee-99d6-566362135c74,KIA,2020.0,CERATO,SEDAN,2020 KIA CERATO S,USED,Automatic,"4 cyl, 2 L",Front,UNLEADED,7.4 L / 100 km,53374,White / Black,"HOPPERS CROSSING, VIC",4 cyl,SEDAN, 4 Doors, 5 Seats,4.0,1.0,26704
2d0fcf16-29f3-4335-bd23-541ce1754f7b,VOLKSWAGEN,2022.0,TIGUAN,LIVERPOOL VOLKSWAGEN NEW CARS,2022 VOLKSWAGEN TIGUAN 110TSI LIFE,DEMO,Automatic,"4 cyl, 1.4 L",Front,PREMIUM,7.7 L / 100 km,21,White / -,"LIVERPOOL, NSW",4 cyl,SUV, 4 Doors, 5 Seats,8.0,1.0,38323
