car_id,Цена
099ec55b-6322-4a9f-8d5e-0bed830c3023,28777
25e3e231-5efc-4032-abe9-794c0cba8295,62999
54f3b009-8e37-49cd-905a-9637d6bf135c,28999
b361a8ff-af76-40cc-9f54-811b6bfd5eb5,33950
671c0cce-667a-4f44-87e7-fe999e17e55e,77888
6e061e12-05b1-48bd-8dca-bad32b0a5d31,35990
b735f445-2ebf-406d-82d2-7c9efbed6da5,29800
0942c3dc-868c-4185-a3ff-fd45f4261c04,22500
a2aae0a5-c077-4425-a65d-6346b54dea2d,21577
b2e43023-6021-4e92-b453-620ac34bfeb8,25995
35432885-454b-4a5c-8144-165f2219f2d0,7490
eff310ae-e4f2-4842-9466-cb87d3f5047b,22990
ca79e5cd-ceb1-48d1-a231-61f2b454e29e,54888
0da9d1f2-c0bf-47f5-9a34-2f8a22f1bbe3,28990
0273bd65-1531-413a-8412-41067d45d849,57990
27a6f050-4765-4ce5-8093-b955e4898f24,12988
5bbf419c-4e23-4260-b37b-35c7f366a7e6,56990
710ae8a5-a364-4568-a66b-bef57f4ce19d,35800
4b6eed5f-c93c-4c6f-b9e7-bae29d5246a8,24800
79795317-8b69-4c02-8c5a-ad7773417905,49990
fe5326dd-d8ec-4ed0-a5e4-6c4aa498e997,20990
d3bd7d22-c3ff-4f74-9127-7f87164aa7ea,28999
438bd913-9ee6-4058-996f-ac410ffb9d84,33930
1fbc6af7-de5e-4108-adf0-60803bfd9a8f,62990
3865a631-7e6c-4b37-8634-ffb6e4a01ea7,64990
3b423876-3b1e-475a-9e52-d3e779fc4f53,34300
4eb40f33-4dc4-4366-a4f6-ad32416c9f79,23999
82841f07-7b2c-460b-9664-3c85e7437fe1,21950
9c1daaf5-d29f-4d99-a89d-5273f8b48dac,19987
4ccc617d-2852-4c21-8a61-44c9e3dd6b94,36499
d921b731-e247-4454-80c9-3b27915590fb,79800
24697b26-1187-4efd-a235-3c5c4a63f47d,18990
87465604-b463-43bc-afac-6c724428451a,14990
5b53bbdb-6a25-4e93-8f5d-e7a1e62e4cd6,29990
833c33a5-da8a-455f-9fa2-2fdfe1615f7b,31990
0dddf3a8-7b0c-4a4d-b8a1-2c93baaa405c,20995
da5552f9-2c2f-4706-b7dc-58d7fb5b376d,10999
751b60b7-deab-4be5-845e-cefec95a746e,32995
093bf1a8-bd09-419b-9cf8-36b3672cb85c,22999
a83cb99b-d415-4739-832f-0c41c252f6e2,19880
5c7c1df5-8879-49dc-a4f8-d649098d21e3,16388
4654dfa3-3ed6-448b-9a2e-59e0d72db6ee,44999
2380815d-dc01-487f-8e7f-1fe11f270fa3,114990
393fbb33-469a-4643-8bd0-617413faf129,58990
a07483a5-1490-4433-a790-cdbcd1cfe7c8,6999
bfed0129-403d-4a2d-bf49-3221dfb40613,14985
c79b98e5-35c0-4835-a70b-2639a957f1c6,21990
df8c117c-3083-42d2-804f-33d1e5d3384e,109800
1eb6bf49-33dd-4cc9-b412-1f30e7822c60,28999
36c7af55-1400-43e5-88b9-55e5381073bd,34777
5b7319bb-2a10-40df-a369-5425a37a08b5,22990
912e2046-b452-4c31-8311-7ad8c228cce0,24900
4d6f98d5-afad-4c09-b7e8-cd5ede394867,37990
5fcbaf71-b351-4b72-960b-1e62c3a1e348,33730
7dbcf0da-194e-4f5b-ba14-0514fea9e86a,22990
cd9f14c0-4d03-4c40-8aa8-48bfb35baee4,14999
95b1858d-9448-4e57-bcef-ff660eb0023d,23895
81580dcf-909f-4412-a323-c621a46253d4,10950
d2f22a33-b89e-4e7b-9347-ceca7b375866,11990
8d21797c-87b5-4e92-9132-b652228bd0a1,25990
f10fba8b-17ac-4d4b-b85e-36b29348370c,58990
ede3b820-83fe-429f-a5e0-1279098475f5,30999
3a8cf5fb-a9a8-43aa-9780-7f012eac9666,17990
84a5c1c0-5a4a-46fb-9538-c62f090bbd16,43990
b2b90a10-ba27-472e-a565-a3b4c0aa8a12,42000
5f66e29f-9df4-4336-a499-1a8cd8eb6215,39990
cfc68b51-03fe-46a0-b7b7-0e50f994dad9,46999
23bae1c6-2d93-4cbf-825d-e2e20b9240a9,52990
dabfab39-aa45-407b-9475-cfb7a171f7e9,129990
1fba0a11-a8c9-4287-b4b3-19cd51513673,59971
bb8c9100-c7db-47a0-b749-18a845f0c9cb,11990
67ad7985-8dea-4413-8cfb-09b9da9e7365,49990
69d3ebc3-4c76-40db-9b14-883591b0c04a,48990
c1288245-522d-43bc-9497-e8fa6e3957f7,64888
